Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Medium (P1),Gender
0,1,2,2,1,2,Food delivery apps,Female
0,1,1,1,2,1,Food delivery apps,Male
-2,-2,-1,0,-1,-1,Food delivery apps,Male
2,2,0,-1,0,2,Food delivery apps,Female
2,2,0,-1,0,2,Food delivery apps,Female
2,1,1,2,1,2,Food delivery apps,Female
-1,1,-1,0,1,0,Food delivery apps,Male
1,1,2,1,0,0,Food delivery apps,Female
-1,0,1,1,0,0,Food delivery apps,Female
0,0,-1,0,1,2,Food delivery apps,Male
0,2,-2,0,1,0,Walk-in,Male
0,2,1,2,0,1,Walk-in,Female
1,1,1,2,1,1,Food delivery apps,Male
2,2,-1,2,0,0,Walk-in,Male
2,2,0,0,-2,0,Food delivery apps,Female
0,0,0,0,0,1,Food delivery apps,Male
1,1,1,1,0,1,Food delivery apps,Male
2,2,-1,1,0,0,Food delivery apps,Female
0,-2,-2,-2,-1,-2,Food delivery apps,Male
0,1,0,0,0,0,Food delivery apps,Male
0,1,0,-1,1,1,Food delivery apps,Male
0,2,0,-1,0,-1,Food delivery apps,Female
0,0,0,0,0,1,Food delivery apps,Male
0,1,2,2,-2,-2,Food delivery apps,Male
2,2,1,2,2,-1,Food delivery apps,Male
-2,0,-2,-1,0,-2,Food delivery apps,Male
-1,2,1,1,1,2,Food delivery apps,Female
-1,0,1,0,1,1,Food delivery apps,Male
2,1,2,2,2,1,Food delivery apps,Male
2,2,2,2,1,0,Food delivery apps,Female
0,-1,0,2,2,1,Walk-in,Male
0,1,2,2,-2,-2,Food delivery apps,Male
0,0,1,0,1,1,Food delivery apps,Female
0,0,1,0,1,1,Food delivery apps,Female
1,2,1,0,0,0,Food delivery apps,Male
-2,-1,2,2,2,-2,Food delivery apps,Female
1,1,2,1,0,0,Food delivery apps,Female
0,1,0,1,1,1,Food delivery apps,Male
1,0,0,2,1,-1,Food delivery apps,Female
1,1,-2,1,2,1,Food delivery apps,Female
1,0,-2,0,1,0,Food delivery apps,Male
1,2,-1,1,1,0,Food delivery apps,Male
1,2,-1,2,1,1,Food delivery apps,Male
0,1,0,2,1,2,Food delivery apps,Male
0,1,1,0,1,1,Food delivery apps,Male
2,2,1,0,1,-1,Food delivery apps,Male
-1,-1,0,1,0,0,Food delivery apps,Male
0,1,0,2,1,2,Food delivery apps,Male
0,1,0,1,1,-1,Walk-in,Male
0,0,1,0,1,1,Food delivery apps,Female
0,-1,1,0,-1,0,Food delivery apps,Male
0,-2,1,1,2,2,Food delivery apps,Female
2,1,1,1,-1,-1,Food delivery apps,Female
-2,-1,1,1,2,2,Food delivery apps,Male
1,2,1,-1,0,0,Food delivery apps,Female
1,2,-1,-1,1,-1,Food delivery apps,Male
1,0,1,2,1,2,Food delivery apps,Female
2,2,-1,-1,1,-2,Food delivery apps,Male
2,2,-1,-1,-1,-1,Food delivery apps,Female
1,0,1,2,1,2,Food delivery apps,Male
-1,-2,1,2,2,2,Food delivery apps,Male
2,2,-1,-1,1,-1,Food delivery apps,Female
0,1,1,1,1,0,Food delivery apps,Male
2,2,-1,-1,1,-1,Food delivery apps,Male
0,1,1,1,1,0,Food delivery apps,Male
2,2,0,-1,0,2,Food delivery apps,Female
1,2,-2,-1,1,-1,Food delivery apps,Male
2,2,-1,-1,1,1,Food delivery apps,Female
2,1,1,2,1,1,Food delivery apps,Male
-1,1,-1,-2,1,-1,Food delivery apps,Male
0,1,0,1,1,0,Food delivery apps,Female
0,0,0,2,1,0,Food delivery apps,Female
2,1,-1,-2,-1,-2,Food delivery apps,Male
-2,-1,1,2,2,2,Food delivery apps,Male
1,2,-1,-1,1,-1,Food delivery apps,Female
0,1,1,0,1,1,Food delivery apps,Female
1,1,1,2,1,1,Food delivery apps,Male
1,2,2,1,-1,0,Food delivery apps,Female
-1,1,1,2,1,2,Food delivery apps,Male
2,2,1,-1,-1,-1,Food delivery apps,Female
-1,1,1,2,2,2,Food delivery apps,Male
1,2,-1,-1,1,-1,Food delivery apps,Male
1,2,1,0,-1,0,Food delivery apps,Male
1,0,0,2,0,2,Food delivery apps,Female
-1,0,1,1,1,0,Food delivery apps,Male
-1,1,-1,0,1,-1,Food delivery apps,Male
1,2,1,0,-1,0,Food delivery apps,Male
2,2,0,-1,0,2,Food delivery apps,Female
2,2,0,-1,1,-1,Food delivery apps,Male
2,2,-1,-2,-1,-2,Food delivery apps,Male
1,1,1,1,2,1,Food delivery apps,Female
2,2,0,-1,0,2,Food delivery apps,Female
-1,-1,-1,-1,1,-1,Food delivery apps,Male
0,0,1,1,-1,1,Direct call,Female
-1,-2,1,1,2,2,Food delivery apps,Male
2,2,-1,1,-1,-1,Food delivery apps,Female
2,2,-1,-2,0,-2,Food delivery apps,Male
-2,-1,1,2,2,2,Food delivery apps,Male
1,2,1,0,2,-1,Food delivery apps,Male
2,1,-1,-2,0,-1,Food delivery apps,Male
1,1,1,1,-1,-1,Food delivery apps,Female
1,1,0,1,-1,1,Food delivery apps,Male
-1,-1,1,0,1,1,Food delivery apps,Female
1,2,1,1,-1,2,Food delivery apps,Female
1,2,-1,-1,0,-1,Food delivery apps,Male
-1,-1,1,1,1,0,Food delivery apps,Male
2,2,-1,-1,-2,-1,Food delivery apps,Male
0,1,-1,-1,0,-1,Food delivery apps,Female
1,1,-1,-1,-1,-1,Food delivery apps,Male
1,2,-1,-2,-1,-1,Food delivery apps,Female
2,2,-1,-1,-1,-1,Food delivery apps,Male
2,1,-1,-1,-2,-1,Food delivery apps,Female
-1,-1,1,1,2,1,Food delivery apps,Male
-2,-2,1,2,1,1,Food delivery apps,Male
1,0,-1,-1,-1,-2,Food delivery apps,Male
1,1,-1,-1,0,1,Food delivery apps,Female
-1,0,1,1,1,0,Food delivery apps,Female
-1,0,1,1,1,1,Direct call,Male
-1,0,1,2,0,1,Food delivery apps,Female
0,-1,1,1,2,1,Food delivery apps,Male
1,1,1,1,-1,-1,Food delivery apps,Female
1,2,-1,-1,-1,0,Food delivery apps,Male
1,1,0,1,1,2,Food delivery apps,Male
-1,1,1,1,1,2,Food delivery apps,Male
0,-1,1,1,1,2,Food delivery apps,Female
2,1,1,1,1,1,Food delivery apps,Male
1,1,-1,-1,-1,-1,Food delivery apps,Male
2,1,-1,0,-1,0,Food delivery apps,Male
1,1,-1,0,-1,0,Food delivery apps,Female
-1,0,1,1,2,1,Food delivery apps,Male
1,1,-1,-1,-1,-2,Food delivery apps,Female
1,1,-2,-2,-2,-2,Food delivery apps,Female
2,2,1,-1,-1,0,Food delivery apps,Male
1,0,-1,1,1,-1,Food delivery apps,Male
2,1,1,1,1,-1,Food delivery apps,Female
-1,-2,1,1,2,1,Food delivery apps,Female
1,2,-1,-1,1,-1,Food delivery apps,Male
0,0,-1,1,-1,-1,Food delivery apps,Male
0,1,1,2,0,2,Food delivery apps,Female
1,2,-1,-1,-2,-1,Food delivery apps,Male
1,2,-1,-1,-2,-1,Food delivery apps,Female
1,2,-1,-1,1,-1,Food delivery apps,Male
-1,2,1,2,-1,0,Food delivery apps,Male
-2,-2,-1,-1,-2,-2,Food delivery apps,Female
2,1,1,1,0,-1,Food delivery apps,Male
1,1,1,1,1,1,Food delivery apps,Female
1,2,1,1,1,2,Food delivery apps,Male
1,1,-1,-1,-2,-1,Food delivery apps,Male
-1,1,1,1,1,1,Food delivery apps,Male
1,2,-1,-1,-1,0,Food delivery apps,Male
0,0,1,1,0,0,Food delivery apps,Female
0,2,-1,0,0,0,Food delivery apps,Male
0,0,-1,-1,1,-1,Food delivery apps,Male
1,2,-1,-1,0,0,Food delivery apps,Male
1,1,1,1,-1,0,Food delivery apps,Female
0,1,-1,-1,0,-1,Food delivery apps,Female
0,1,-2,-1,0,0,Food delivery apps,Female
1,0,-1,0,1,1,Food delivery apps,Female
1,1,-1,-1,1,0,Food delivery apps,Male
1,1,-1,-1,1,0,Web browser,Male
1,1,-1,0,1,-1,Food delivery apps,Female
2,2,1,-1,1,-1,Food delivery apps,Male
0,0,1,1,-1,-1,Food delivery apps,Female
1,2,-1,-1,1,-1,Food delivery apps,Male
0,1,1,1,1,0,Food delivery apps,Female
0,-1,-1,-1,0,1,Food delivery apps,Male
1,1,-1,-1,-1,0,Food delivery apps,Male
1,0,1,0,1,1,Food delivery apps,Male
1,1,1,-1,-1,-1,Food delivery apps,Female
1,1,-1,-1,-1,-1,Food delivery apps,Male
1,1,0,-1,-1,-1,Food delivery apps,Male
-1,-2,1,0,1,0,Food delivery apps,Male
1,2,1,2,1,1,Food delivery apps,Male
0,0,-2,-1,0,-1,Direct call,Male
0,1,-1,-1,1,-1,Food delivery apps,Male
0,-2,1,1,1,1,Food delivery apps,Female
1,0,1,1,-1,0,Food delivery apps,Male
2,2,-1,-1,-2,-2,Food delivery apps,Female
1,2,-1,-1,-2,-1,Food delivery apps,Male
1,2,0,0,0,-1,Food delivery apps,Female
1,1,-1,1,1,-1,Food delivery apps,Male
1,0,-1,-1,-1,-2,Food delivery apps,Male
-1,1,1,1,1,2,Food delivery apps,Female
2,2,1,-1,-2,1,Food delivery apps,Male
1,1,1,1,1,0,Food delivery apps,Male
1,2,-1,-1,-2,-1,Food delivery apps,Female
2,2,-1,-1,-1,-2,Food delivery apps,Female
2,1,-1,-1,2,1,Food delivery apps,Male
1,1,-1,-1,1,-1,Food delivery apps,Male
2,2,-1,-1,-2,-1,Food delivery apps,Male
-2,1,1,1,2,1,Food delivery apps,Female
2,2,-1,0,1,2,Food delivery apps,Male
2,1,-1,-1,1,-1,Food delivery apps,Male
1,-1,1,1,1,1,Food delivery apps,Male
2,1,-1,-1,1,1,Food delivery apps,Male
1,1,1,1,1,1,Food delivery apps,Female
0,1,-1,-1,0,-1,Food delivery apps,Male
1,1,-1,-1,-2,-1,Food delivery apps,Female
-1,-2,-1,-2,1,-1,Food delivery apps,Male
1,2,1,1,0,-1,Food delivery apps,Female
2,2,-1,-1,1,-1,Food delivery apps,Male
1,2,-1,0,1,0,Food delivery apps,Female
-2,-1,1,1,1,1,Food delivery apps,Male
2,1,-1,0,1,-1,Food delivery apps,Female
1,1,-1,0,0,1,Food delivery apps,Male
2,1,-1,-1,0,1,Food delivery apps,Female
0,-1,1,1,1,1,Food delivery apps,Male
-2,-2,-1,-1,0,1,Food delivery apps,Female
0,1,0,-1,-1,0,Food delivery apps,Male
1,2,1,0,0,-1,Food delivery apps,Female
2,1,1,2,1,1,Food delivery apps,Male
2,2,0,-1,0,2,Food delivery apps,Female
1,2,1,0,0,0,Food delivery apps,Male
1,1,1,-1,1,-1,Web browser,Female
1,1,1,1,1,-1,Food delivery apps,Male
2,2,-1,0,0,1,Food delivery apps,Female
-1,1,-1,1,1,-1,Food delivery apps,Male
2,2,-1,1,1,-1,Food delivery apps,Female
-2,-1,1,1,1,1,Food delivery apps,Male
2,2,-1,-1,1,-1,Food delivery apps,Female
-2,-2,1,1,2,-1,Food delivery apps,Female
2,2,-1,1,1,-1,Food delivery apps,Female
1,1,-1,-1,0,-1,Food delivery apps,Female
-1,-1,1,1,1,1,Food delivery apps,Female
2,2,1,1,-1,-1,Food delivery apps,Female
-1,1,1,1,1,1,Food delivery apps,Female
-2,-2,1,1,1,-1,Food delivery apps,Female
-1,-1,-1,0,1,0,Food delivery apps,Female
-1,-2,1,1,1,1,Food delivery apps,Female
-1,-1,1,1,1,-2,Food delivery apps,Female
0,-1,-2,1,1,0,Food delivery apps,Female
2,2,-1,-1,1,-1,Food delivery apps,Female
1,1,-1,-2,-1,-2,Food delivery apps,Male
2,2,-1,0,1,0,Food delivery apps,Male
-2,-1,1,1,1,1,Food delivery apps,Male
1,1,1,1,1,0,Food delivery apps,Female
-1,0,-1,0,0,1,Food delivery apps,Male
1,1,1,2,0,1,Food delivery apps,Female
0,0,1,2,2,1,Walk-in,Male
0,1,-1,0,1,1,Food delivery apps,Female
0,1,-1,1,-1,1,Food delivery apps,Male
1,1,1,1,1,0,Food delivery apps,Female
0,1,1,1,0,1,Food delivery apps,Female
0,0,1,1,0,0,Food delivery apps,Female
0,1,1,2,1,2,Food delivery apps,Female
1,2,1,2,-1,1,Food delivery apps,Male
1,1,-1,-1,1,0,Web browser,Male
1,1,-1,0,1,-1,Food delivery apps,Female
2,2,1,-1,1,-1,Food delivery apps,Male
0,0,1,1,-1,-1,Food delivery apps,Female
1,2,-1,-1,1,-1,Food delivery apps,Male
0,1,1,1,1,0,Food delivery apps,Female
0,-1,-1,-1,0,1,Food delivery apps,Male
1,1,-1,-1,-1,0,Food delivery apps,Male
1,0,1,0,1,1,Food delivery apps,Male
1,1,1,-1,-1,-1,Food delivery apps,Female
1,1,-1,-1,-1,-1,Food delivery apps,Male
1,1,0,-1,-1,-1,Food delivery apps,Male
-1,-2,1,0,1,0,Food delivery apps,Male
1,2,1,2,1,1,Food delivery apps,Male
0,0,-2,-1,0,-1,Direct call,Male
0,1,-1,-1,1,-1,Food delivery apps,Male
0,-2,1,1,1,1,Food delivery apps,Female
1,0,1,1,-1,0,Food delivery apps,Male
2,2,-1,-1,-2,-2,Food delivery apps,Female
0,1,1,2,0,2,Food delivery apps,Female
1,2,-1,-1,-2,-1,Food delivery apps,Male
1,2,-1,-1,-2,-1,Food delivery apps,Female
1,2,-1,-1,1,-1,Food delivery apps,Male
-1,2,1,2,-1,0,Food delivery apps,Male
-2,-2,-1,-1,-2,-2,Food delivery apps,Female
2,1,1,1,0,-1,Food delivery apps,Male
1,1,1,1,1,1,Food delivery apps,Female
1,2,1,1,1,2,Food delivery apps,Male
1,1,-1,-1,-2,-1,Food delivery apps,Male
-1,1,1,1,1,1,Food delivery apps,Male
1,2,-1,-1,-1,0,Food delivery apps,Male
0,0,1,1,0,0,Food delivery apps,Female
0,2,-1,0,0,0,Food delivery apps,Male
0,0,-1,-1,1,-1,Food delivery apps,Male
1,2,-1,-1,0,0,Food delivery apps,Male
0,1,1,2,0,2,Food delivery apps,Female
1,2,-1,-1,-2,-1,Food delivery apps,Male
1,2,-1,-1,-2,-1,Food delivery apps,Female
1,2,-1,-1,1,-1,Food delivery apps,Male
-1,2,1,2,-1,0,Food delivery apps,Male
-2,-2,-1,-1,-2,-2,Food delivery apps,Female
2,1,1,1,0,-1,Food delivery apps,Male
1,1,1,1,1,1,Food delivery apps,Female
1,2,1,1,1,2,Food delivery apps,Male
1,1,-1,-1,-2,-1,Food delivery apps,Male
-1,1,1,1,1,1,Food delivery apps,Male
1,2,-1,-1,1,-1,Food delivery apps,Male
0,1,1,1,1,0,Food delivery apps,Female
0,-1,-1,-1,0,1,Food delivery apps,Male
1,1,-1,-1,-1,0,Food delivery apps,Male
1,0,1,0,1,1,Food delivery apps,Male
1,1,1,-1,-1,-1,Food delivery apps,Female
1,1,-1,-1,-1,-1,Food delivery apps,Male
1,1,0,-1,-1,-1,Food delivery apps,Male
-1,-2,1,0,1,0,Food delivery apps,Male
1,2,1,2,1,1,Food delivery apps,Male
0,0,-2,-1,0,-1,Direct call,Male
0,1,-1,-1,1,-1,Food delivery apps,Male
0,-2,1,1,1,1,Food delivery apps,Female
1,0,1,1,-1,0,Food delivery apps,Male
2,2,-1,-1,-2,-2,Food delivery apps,Female
1,2,-1,-1,-2,-1,Food delivery apps,Male
1,2,0,0,0,-1,Food delivery apps,Female
1,1,-1,1,1,-1,Food delivery apps,Male
1,0,-1,-1,-1,-2,Food delivery apps,Male
-1,1,1,1,1,2,Food delivery apps,Female
2,2,1,-1,-2,1,Food delivery apps,Male
1,1,1,1,1,0,Food delivery apps,Male
1,2,-1,-1,-2,-1,Food delivery apps,Female
0,0,1,2,2,1,Walk-in,Male
0,1,-1,0,1,1,Food delivery apps,Female
0,1,-1,1,-1,1,Food delivery apps,Male
1,1,1,1,1,0,Food delivery apps,Female
0,1,1,1,0,1,Food delivery apps,Female
0,0,1,1,0,0,Food delivery apps,Female
0,1,1,2,1,2,Food delivery apps,Female
1,2,1,2,-1,1,Food delivery apps,Male
-1,1,0,1,0,1,Walk-in,Male
